OrderID,Product,Quantity,Price,OrderDate,Address,Hour,DayOfWeek,Year,Month,Sales,City,State,ZipCode,Category,CumulativeSales,Rolling7DaySales,Region,OrderValueCategory,IsBundle,Season
133233,AA Batteries (4-pack),2,1507.97,2019-01-01 00:00:00,"561 3rd St, Miami, FL 30592",0,Tuesday,2019,1,3015.94,Miami,FL,30592,Accessory,3015.94,3015.94,South,Medium,False,Winter
124783,LG Washing Machine,1,715.66,2019-01-01 00:00:00,"142 2nd St, San Francisco, CA 23808",0,Tuesday,2019,1,715.66,San Francisco,CA,23808,Other,3731.6,3731.6,West,Low,False,Winter
164666,34in Ultrawide Monitor,1,663.46,2019-01-01 00:03:00,"344 Oak St, Dallas, TX 66555",0,Tuesday,2019,1,663.46,Dallas,TX,66555,Computer & Display,4395.0599999999995,4395.06,South,Low,False,Winter
171725,34in Ultrawide Monitor,1,330.79,2019-01-01 00:16:00,"721 2nd St, Miami, FL 30890",0,Tuesday,2019,1,330.79,Miami,FL,30890,Computer & Display,4819.549999999999,4819.55,South,Low,False,Winter
191178,Macbook Pro Laptop,2,1999.27,2019-01-01 00:22:00,"516 Park St, San Francisco, CA 49622",0,Tuesday,2019,1,3998.54,San Francisco,CA,49622,Computer & Display,9631.169999999998,9631.17,West,Medium,False,Winter
171774,20in Monitor,1,1317.01,2019-01-01 01:04:00,"322 Maple St, San Francisco, CA 27030",1,Tuesday,2019,1,1317.01,San Francisco,CA,27030,Computer & Display,14689.759999999998,10958.16,West,Medium,False,Winter
188010,ThinkPad Laptop,1,749.4,2019-01-01 01:15:00,"529 Pine St, San Francisco, CA 41888",1,Tuesday,2019,1,749.4,San Francisco,CA,41888,Computer & Display,15439.159999999998,11044.1,West,Low,False,Winter
156589,20in Monitor,2,709.72,2019-01-01 01:19:00,"587 Oak St, Los Angeles, CA 23263",1,Tuesday,2019,1,1419.44,Los Angeles,CA,23263,Computer & Display,18251.729999999996,12619.099999999999,West,Medium,False,Winter
150036,34in Ultrawide Monitor,1,256.2,2019-01-01 01:21:00,"544 Pine St, Dallas, TX 25737",1,Tuesday,2019,1,256.2,Dallas,TX,25737,Computer & Display,18507.929999999997,8876.76,South,Low,False,Winter
126818,ThinkPad Laptop,1,1257.91,2019-01-01 01:41:00,"502 Pine St, Dallas, TX 88403",1,Tuesday,2019,1,1257.91,Dallas,TX,88403,Computer & Display,23090.309999999994,4838.58,South,Medium,False,Winter
