Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
192873,Google Phone,1.0,1212.07,04/12/19 15:23,"563 Oak St, Miami, FL 38994"
152014,Apple Airpods,1.0,526.04,10/25/19 19:50,"257 Oak St, Los Angeles, CA 57733"
145859,AA Batteries (4-pack),1.0,1169.5,03/16/19 09:51,"522 3rd St, Denver, CO 61868"
124079,Wired Headphones,1.0,11.4,04/12/19 17:29,"304 1st St, Atlanta, GA 50231"
141228,Lightning Charging Cable,1.0,1146.91,12/26/19 19:17,"871 Main St, New York, NY 71395"
129861,USB-C Charging Cable,1.0,581.8,01/03/19 16:07,"475 2nd St, Dallas, TX 94894"
168597,Lightning Charging Cable,1.0,1834.7,03/31/19 06:59,"296 1st St, Boston, MA 39349"
150309,AA Batteries (4-pack),1.0,1059.18,08/19/19 05:42,"795 Park St, New York, NY 49706"
150282,Bose SoundSport Headphones,2.0,352.79,01/19/19 15:48,"106 Park St, Boston, MA 80704"
127261,ThinkPad Laptop,2.0,1568.8,10/07/19 03:59,"231 Oak St, Chicago, IL 31343"
142499,Samsung TV,1.0,1980.58,05/30/19 06:14,"511 Main St, Denver, CO 35498"
175469,Wired Headphones,3.0,729.98,01/29/19 09:44,"396 1st St, Atlanta, GA 66824"
146177,Macbook Pro Laptop,1.0,756.7,08/23/19 03:10,"480 1st St, Seattle, WA 99718"
182458,Apple Airpods,1.0,1621.48,06/13/19 19:52,"443 Oak St, San Francisco, CA 74445"
169587,Samsung TV,4.0,941.29,05/19/19 22:15,"378 Cedar St, Seattle, WA 17014"
138395,Apple Airpods,1.0,177.96,03/31/19 20:35,"348 Main St, Miami, FL 61925"
189085,AA Batteries (4-pack),1.0,1467.72,08/09/19 23:51,"560 Main St, Atlanta, GA 57605"
187372,27in FHD Monitor,1.0,1460.92,06/15/19 17:20,"530 Elm St, Atlanta, GA 72465"
198670,iPhone,1.0,1826.98,09/13/19 06:12,"269 Maple St, Denver, CO 24275"
100883,Bose SoundSport Headphones,2.0,957.28,09/09/19 07:34,"711 2nd St, Chicago, IL 11017"
168616,iPhone,2.0,835.54,02/12/19 12:19,"917 Cedar St, Seattle, WA 75854"
183069,Wired Headphones,3.0,1426.94,03/29/19 01:09,"754 Pine St, Chicago, IL 17483"
116095,iPhone,1.0,198.51,03/29/19 09:31,"623 Pine St, New York, NY 60553"
124457,27in FHD Monitor,1.0,1628.86,07/15/19 23:31,"251 Pine St, Chicago, IL 95832"
131840,Samsung TV,2.0,41.44,05/22/19 19:44,"787 1st St, Atlanta, GA 40909"
104232,iPhone,5.0,512.8,10/11/19 10:14,"393 Park St, Atlanta, GA 26033"
163469,Samsung TV,1.0,1521.99,11/11/19 04:15,"334 Elm St, Chicago, IL 87751"
139589,ThinkPad Laptop,2.0,540.14,12/22/19 18:59,"347 Maple St, Miami, FL 85078"
181280,20in Monitor,1.0,1775.97,12/24/19 11:17,"888 Park St, Seattle, WA 26180"
133066,27in FHD Monitor,3.0,808.95,02/06/19 21:04,"872 Park St, Dallas, TX 83110"
192621,ThinkPad Laptop,1.0,1633.06,07/03/19 07:34,"109 Oak St, Atlanta, GA 35710"
145121,27in FHD Monitor,2.0,1569.34,11/21/19 09:54,"414 Cedar St, Atlanta, GA 87062"
149423,AA Batteries (4-pack),2.0,1554.18,09/28/19 17:20,"631 1st St, Denver, CO 12466"
169999,USB-C Charging Cable,1.0,1011.6,03/18/19 14:53,"931 2nd St, Miami, FL 25328"
185552,Samsung TV,1.0,293.16,11/19/19 13:25,"770 2nd St, Miami, FL 65834"
144958,Wired Headphones,1.0,577.44,10/24/19 23:55,"690 Main St, Miami, FL 28636"
174841,AA Batteries (4-pack),2.0,207.56,09/19/19 02:10,"586 1st St, Atlanta, GA 17639"
183234,AA Batteries (4-pack),4.0,1945.44,01/15/19 05:10,"637 Cedar St, Boston, MA 88611"
124991,Samsung TV,1.0,1731.11,10/10/19 05:14,"677 3rd St, New York, NY 15296"
172971,ThinkPad Laptop,1.0,1340.78,03/25/19 04:18,"320 Elm St, Los Angeles, CA 79046"
188136,27in FHD Monitor,1.0,1187.74,11/26/19 09:18,"807 1st St, Boston, MA 18165"
136804,Samsung TV,1.0,1000.73,02/09/19 07:17,"328 2nd St, Dallas, TX 32374"
171220,Macbook Pro Laptop,2.0,157.3,05/06/19 17:20,"879 2nd St, Atlanta, GA 95846"
113695,Macbook Pro Laptop,1.0,1746.82,03/15/19 02:10,"947 Park St, Chicago, IL 33843"
178122,LG Washing Machine,1.0,1260.12,09/18/19 16:50,"159 Maple St, Dallas, TX 23419"
191888,USB-C Charging Cable,1.0,805.65,04/16/19 02:12,"719 Cedar St, Miami, FL 20373"
135538,20in Monitor,1.0,1695.69,09/12/19 21:34,"858 Oak St, New York, NY 25029"
